Ad_ID,Advertiser,State,Date_Aired,Nostalgia_Binary,Transcript
H_268,Harris Campaign,North Carolina,2024-09-05,0,America Forward Tax Credits for businesses that invest in key strategic industries. Steel. Biotechnology. AI. Semiconductors.
H_243,Harris Campaign,North Carolina,2024-11-03,0,"Trump wants to give tax breaks to billionaires, but I have plans to help working families. I'm going to crack down on price gouging."
T_001,Trump Campaign,Nevada,2024-09-01,1,"Under Trump, America was energy independent for the first time in decades. Gas was cheap. Families could afford to fill their tanks. Let's bring that back."
H_279,Harris Campaign,Pennsylvania,2024-09-16,0,Trump wants a massive sales tax on everything you buy. His tariffs will cost your family thousands.
H_364,Harris Campaign,Wisconsin,2024-10-17,0,"I will never forget what Donald Trump did when Hurricane Maria devastated Puerto Rico. As president, I will always fight for you."
M_203,MAGA Inc,Georgia,2024-10-02,0,Donald Trump brags about overturning Roe. Now women are being turned away from emergency rooms. Harris will restore reproductive rights.
F_449,FF PAC,Arizona,2024-09-24,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
M_139,MAGA Inc,Nevada,2024-11-01,1,Bring back American strength. Bring back American jobs. Bring back American values. Only one candidate fought for you before and will fight for you again.
H_307,Harris Campaign,Nevada,2024-11-05,0,"Kamala Harris was the deciding vote on the Inflation Reduction Act, which raised the tax burden on the middle class. Trump will end taxes on tips and overtime."
H_237,Harris Campaign,Georgia,2024-09-28,0,Trump had four years and he didn't fix healthcare. Harris will actually protect your coverage and lower your costs.
H_387,Harris Campaign,Wisconsin,2024-11-05,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
M_202,MAGA Inc,Nevada,2024-09-19,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
H_330,Harris Campaign,Michigan,2024-11-04,0,"The cost of living in America is still too high. You know it and I know it. We need new solutions, not old approaches."
H_300,Harris Campaign,Pennsylvania,2024-10-20,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
M_182,MAGA Inc,Michigan,2024-11-01,1,The stock market hit record highs. 401ks soared. Retirement dreams became reality. We can bring back that prosperity.
T_046,Trump Campaign,North Carolina,2024-11-04,1,Remember when gas was under two dollars? Remember when you could afford groceries? Remember when the border was secure? Trump delivered once. He'll deliver again.
T_009,Trump Campaign,Nevada,2024-11-03,1,We created 7 million new jobs. It led to growth like we've never seen before. We created the greatest economy in history by far. We can do it again.
H_366,Harris Campaign,Nevada,2024-09-17,0,I'm a construction worker. I voted Trump twice. But his tariffs hurt my business. I'm voting Harris because she has a plan.
T_026,Trump Campaign,Michigan,2024-09-04,1,The greatest economic recovery in American history happened under President President Trump. Jobs came roaring back. We can do it again. I'm Donald Trump and I approve this message.
H_254,Harris Campaign,Nevada,2024-09-27,0,"When I look at the aspirations of the American people, I think people are looking for a new way forward."
T_060,Trump Campaign,North Carolina,2024-09-03,1,"Under President President Trump, we achieved energy dominance. Gas prices fell. Utility bills dropped. American energy workers thrived. We'll do it again."
T_002,Trump Campaign,Pennsylvania,2024-11-05,1,"This will truly be the golden age of America. We will help our country heal. Because together, we can truly make America great again for all Americans."
M_172,MAGA Inc,Arizona,2024-11-05,1,We created 7 million new jobs. It led to growth like we've never seen before. We created the greatest economy in history by far. We can do it again.
H_351,Harris Campaign,Michigan,2024-10-25,0,Donald Trump's tariff policies are a massive tax on the American people. Working Americans would pay for it.
H_316,Harris Campaign,Arizona,2024-11-03,0,Donald Trump's tariff policies are a massive tax on the American people. Working Americans would pay for it.
M_145,MAGA Inc,Nevada,2024-09-14,1,We built the greatest economy in history. We can do it again. It's time to bring it all back. Make America Great Again. I'm Donald Trump and I approve this message.
M_183,MAGA Inc,Pennsylvania,2024-10-28,1,Wages rose faster than they had in decades. Working families got ahead. The middle class grew stronger. President Trump will restore that growth.
T_055,Trump Campaign,Arizona,2024-09-29,1,"Four years ago, our country was feared and respected around the world. We will soon have that back. America is coming back stronger than ever."
H_220,Harris Campaign,Michigan,2024-11-03,1,The stock market hit record highs. 401ks soared. Retirement dreams became reality. We can bring back that prosperity.
H_293,Harris Campaign,Georgia,2024-11-04,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
H_242,Harris Campaign,Nevada,2024-10-19,0,Trump wants a massive sales tax on everything you buy. His tariffs will cost your family thousands.
H_313,Harris Campaign,Nevada,2024-09-03,0,Donald Trump was found liable for fraud. He's been indicted on 91 felony counts. Is this who you want leading America?
M_162,MAGA Inc,Michigan,2024-10-15,1,President Trump rebuilt our military and restored American strength around the world. Our allies respected us. Our enemies feared us. We'll have that again.
H_318,Harris Campaign,Georgia,2024-09-25,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
H_338,Harris Campaign,Michigan,2024-10-04,0,Trump wants a massive sales tax on everything you buy. His tariffs will cost your family thousands.
H_334,Harris Campaign,North Carolina,2024-11-01,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
T_021,Trump Campaign,North Carolina,2024-09-22,1,"Return to peace through strength. Four years ago, our country was feared and respected. Under Trump, America will soon be feared and respected again."
H_290,Harris Campaign,North Carolina,2024-10-13,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
M_174,MAGA Inc,Georgia,2024-10-20,1,We had the strongest economy in the history of our country. Record low unemployment. Rising wages. We're going to bring all of that back.
H_238,Harris Campaign,Nevada,2024-11-04,0,America Forward Tax Credits for businesses that invest in key strategic industries. Steel. Biotechnology. AI. Semiconductors.
T_123,Trump Campaign,Michigan,2024-09-13,0,Donald Trump brags about overturning Roe. Now women are being turned away from emergency rooms. Harris will restore reproductive rights.
M_169,MAGA Inc,Pennsylvania,2024-09-08,1,We built the greatest economy in history. We can do it again. It's time to bring it all back. Make America Great Again.
F_443,FF PAC,Georgia,2024-10-12,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
H_319,Harris Campaign,Pennsylvania,2024-11-01,0,"I'm a lifelong Republican and I voted for Trump twice, but I can't do it again. His tariffs made everything more expensive."
M_192,MAGA Inc,Michigan,2024-09-15,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
H_267,Harris Campaign,North Carolina,2024-11-01,0,"I'm a lifelong Republican and I voted for Trump twice, but I can't do it again. His tariffs made everything more expensive."
M_193,MAGA Inc,Georgia,2024-10-07,0,Trump had four years and he didn't fix healthcare. Harris will actually protect your coverage and lower your costs.
H_322,Harris Campaign,Georgia,2024-11-01,0,Protect Social Security. Trump's plan would cut benefits. Harris will fight for the benefits you earned.
F_431,FF PAC,Pennsylvania,2024-10-26,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
F_397,FF PAC,Wisconsin,2024-10-15,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
H_324,Harris Campaign,Nevada,2024-11-04,0,Trump's economic policies would weaken the economy and hurt working people. He has no intention to grow our middle class.
T_052,Trump Campaign,Nevada,2024-10-08,1,The Trump administration brought back jobs that Obama said were gone forever. Manufacturing returned. Steel mills reopened. We can restore that prosperity.
H_359,Harris Campaign,Pennsylvania,2024-09-12,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
T_058,Trump Campaign,Nevada,2024-11-02,1,"Under Trump, America was energy independent for the first time in decades. Gas was cheap. Families could afford to fill their tanks. Let's bring that back."
T_047,Trump Campaign,Pennsylvania,2024-11-05,1,"Like the heroes who built and defended this nation before us, we will never give up. We will restore our nation of, by, and for the people. We will Make America Great Again."
F_403,FF PAC,North Carolina,2024-09-10,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
M_171,MAGA Inc,Nevada,2024-10-23,1,The stock market hit record highs. 401ks soared. Retirement dreams became reality. We can bring back that prosperity.
T_044,Trump Campaign,Michigan,2024-09-06,1,We had peace through strength. No new wars. ISIS defeated. The world was safer. Let's restore that leadership.
T_076,Trump Campaign,Michigan,2024-11-02,1,The Trump administration brought back jobs that Obama said were gone forever. Manufacturing returned. Steel mills reopened. We can restore that prosperity.
H_367,Harris Campaign,Georgia,2024-09-08,0,A new generation of leadership. Someone who fights for working people every single day. That's Kamala Harris.
T_097,Trump Campaign,Georgia,2024-09-21,0,Kamala Harris laughed when asked about the border crisis. She thinks it's a joke. American families don't think it's funny.
F_430,FF PAC,Michigan,2024-10-09,0,Donald Trump was found liable for fraud. He's been indicted on 91 felony counts. Is this who you want leading America?
F_438,FF PAC,Pennsylvania,2024-11-04,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
H_379,Harris Campaign,Wisconsin,2024-10-21,0,Donald Trump brags about overturning Roe. Now women are being turned away from emergency rooms. Harris will restore reproductive rights.
T_023,Trump Campaign,Pennsylvania,2024-11-03,1,Wages rose faster than they had in decades. Working families got ahead. The middle class grew stronger. President Trump will restore that growth.
H_369,Harris Campaign,Wisconsin,2024-09-12,0,Protect Social Security. Trump's plan would cut benefits. Harris will fight for the benefits you earned.
T_092,Trump Campaign,Georgia,2024-09-05,0,"No matter what Joe Biden promised, ask yourself: Are you financially better off since he became president? Are you and your family safer? Is our country more secure?"
H_264,Harris Campaign,North Carolina,2024-11-02,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
T_098,Trump Campaign,Pennsylvania,2024-09-25,0,"Millions of illegal immigrants, traffickers, and drugs coming into our country. Our country has gone to hell. We need to secure the border now."
M_140,MAGA Inc,Pennsylvania,2024-10-19,1,We had peace through strength. No new wars. ISIS defeated. The world was safer. Let's restore that leadership.
T_078,Trump Campaign,Arizona,2024-11-03,1,"Return to peace through strength. Four years ago, our country was feared and respected. Under President Trump, America will soon be feared and respected again."
H_303,Harris Campaign,Georgia,2024-09-12,0,America Forward Tax Credits for businesses that invest in key strategic industries. Steel. Biotechnology. AI. Semiconductors.
F_407,FF PAC,Arizona,2024-09-14,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
T_008,Trump Campaign,Wisconsin,2024-09-30,1,We had peace through strength. No new wars. ISIS defeated. The world was safer. Let's restore that leadership.
T_109,Trump Campaign,Georgia,2024-10-15,0,A defenseless young girl was brutally attacked by an illegal alien. Biden's weak border policies failed her. We need border security now.
H_285,Harris Campaign,Wisconsin,2024-11-03,0,Harris's IRS targeted tipped workers. She expanded audits on the middle class. Trump will end taxes on tips.
M_205,MAGA Inc,Michigan,2024-10-22,0,The Biden-Harris administration abandoned Americans in Afghanistan. They left our allies behind. They embarrassed our nation.
T_027,Trump Campaign,Arizona,2024-09-02,1,"Four years ago, our country was feared and respected around the world. We will soon have that back. America is coming back stronger than ever. I'm Donald Trump and I approve this message."
H_251,Harris Campaign,Wisconsin,2024-09-13,0,Harris's IRS targeted tipped workers. She expanded audits on the middle class. Trump will end taxes on tips.
T_020,Trump Campaign,Pennsylvania,2024-10-13,1,The stock market hit record highs. 401ks soared. Retirement dreams became reality. We can bring back that prosperity. I'm Donald Trump and I approve this message.
H_207,Harris Campaign,Wisconsin,2024-10-28,1,"President President Trump's policies were like rocket fuel to the economy, especially to the middle class. We need to bring back that prosperity."
H_317,Harris Campaign,Wisconsin,2024-09-29,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
T_057,Trump Campaign,Arizona,2024-11-01,1,"American made, made possible. Under Trump, manufacturing came back. Jobs came back. Pride came back. It's time to restore what was lost. I'm Donald Trump and I approve this message."
T_125,Trump Campaign,Georgia,2024-10-30,0,"If Biden wins, can he even survive till 2029? The American people deserve a president who has the ability to do the job."
H_383,Harris Campaign,Arizona,2024-09-12,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
F_419,FF PAC,Pennsylvania,2024-09-08,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
H_215,Harris Campaign,Georgia,2024-09-17,1,The Trump tax cuts put money back in your pocket. Your paycheck went further. Your family did better. Let's restore that prosperity.
T_005,Trump Campaign,North Carolina,2024-09-25,1,Bring back American strength. Bring back American jobs. Bring back American values. Only one candidate fought for you before and will fight for you again.
H_230,Harris Campaign,Arizona,2024-11-02,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
H_250,Harris Campaign,Michigan,2024-09-04,0,"Trump doesn't have a plan. After almost 10 years of seeking the presidency, he still only has concepts of a plan."
M_167,MAGA Inc,Arizona,2024-11-04,1,The American Dream was alive and well under President Trump. We're going to restore it. We're going to make it even better than before.
H_212,Harris Campaign,Pennsylvania,2024-09-21,1,We had the strongest economy in the history of our country. Record low unemployment. Rising wages. We're going to bring all of that back.
T_080,Trump Campaign,Michigan,2024-11-03,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
T_106,Trump Campaign,Nevada,2024-10-15,0,"I'm not rich as hell. I work hard. I scrape to get by. Donald Trump wants to give tax breaks to billionaires, but Kamala Harris has plans to help us."
T_114,Trump Campaign,Georgia,2024-09-14,0,"Millions of illegal immigrants, traffickers, and drugs coming into our country. Our country has gone to hell. We need to secure the border now."
F_434,FF PAC,Nevada,2024-10-05,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
H_281,Harris Campaign,Nevada,2024-10-03,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
M_198,MAGA Inc,Wisconsin,2024-11-04,0,"If Biden wins, can he even survive till 2029? The American people deserve a president who has the ability to do the job."
F_398,FF PAC,North Carolina,2024-10-17,0,Trump's economic policies would weaken the economy and hurt working people. He has no intention to grow our middle class.
T_007,Trump Campaign,Arizona,2024-10-20,1,The President Trump administration brought back jobs that Obama said were gone forever. Manufacturing returned. Steel mills reopened. We can restore that prosperity.
F_444,FF PAC,North Carolina,2024-11-03,0,"I'm a lifelong Republican and I voted for Trump twice, but I can't do it again. His tariffs made everything more expensive."
F_424,FF PAC,Michigan,2024-09-20,0,Protect Social Security. Trump's plan would cut benefits. Harris will fight for the benefits you earned.
H_329,Harris Campaign,Arizona,2024-10-04,0,"Kamala Harris was the deciding vote on the Inflation Reduction Act, which raised the tax burden on the middle class. Trump will end taxes on tips and overtime."
H_362,Harris Campaign,Wisconsin,2024-11-01,0,Harris's IRS targeted tipped workers. She expanded audits on the middle class. Trump will end taxes on tips.
T_100,Trump Campaign,Wisconsin,2024-10-02,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
M_137,MAGA Inc,Georgia,2024-09-16,1,"Return to peace through strength. Four years ago, our country was feared and respected. Under Trump, America will soon be feared and respected again."
H_370,Harris Campaign,Arizona,2024-10-14,0,Donald Trump brags about overturning Roe. Now women are being turned away from emergency rooms. Harris will restore reproductive rights.
F_396,FF PAC,North Carolina,2024-09-12,0,Trump had four years and he didn't fix healthcare. Harris will actually protect your coverage and lower your costs.
F_391,FF PAC,Michigan,2024-09-14,0,Protect Social Security. Trump's plan would cut benefits. Harris will fight for the benefits you earned.
H_321,Harris Campaign,Wisconsin,2024-10-14,0,"I'm a lifelong Republican and I voted for Trump twice, but I can't do it again. His tariffs made everything more expensive."
T_004,Trump Campaign,Nevada,2024-11-05,1,The Trump tax cuts put money back in your pocket. Your paycheck went further. Your family did better. Let's restore that prosperity.
H_213,Harris Campaign,Michigan,2024-09-25,1,"President Trump's policies were like rocket fuel to the economy, especially to the middle class. We need to bring back that prosperity."
H_241,Harris Campaign,Michigan,2024-10-22,0,Donald Trump was found liable for fraud. He's been indicted on 91 felony counts. Is this who you want leading America?
T_112,Trump Campaign,Pennsylvania,2024-09-05,0,Harris cast the tie-breaking vote that sent inflation soaring. Your grocery bill went up. Your rent went up. She did that.
M_170,MAGA Inc,Michigan,2024-10-23,1,Small businesses were booming under Trump. Main Street was thriving. The American entrepreneur was unleashed. Let's restore that spirit.
H_352,Harris Campaign,North Carolina,2024-11-04,0,Trump had four years and he didn't fix healthcare. Harris will actually protect your coverage and lower your costs.
T_102,Trump Campaign,North Carolina,2024-10-22,0,Open borders. Record inflation. Rising crime. That's the Harris-Biden legacy. America deserves better.
F_389,FF PAC,Georgia,2024-11-04,1,Remember when gas was under two dollars? Remember when you could afford groceries? Remember when the border was secure? Trump delivered once. He'll deliver again. I'm Donald Trump and I approve this message.
F_428,FF PAC,Wisconsin,2024-11-05,0,"Kamala Harris was the deciding vote on the Inflation Reduction Act, which raised the tax burden on the middle class. Trump will end taxes on tips and overtime."
T_054,Trump Campaign,Wisconsin,2024-09-03,1,The forgotten men and women were forgotten no more. Their voices were heard. Their concerns mattered. Trump will fight for them again.
H_273,Harris Campaign,Georgia,2024-11-04,0,Trump's economic policies would weaken the economy and hurt working people. He has no intention to grow our middle class.
F_448,FF PAC,Michigan,2024-10-30,0,Trump's economic policies would weaken the economy and hurt working people. He has no intention to grow our middle class.
T_043,Trump Campaign,North Carolina,2024-09-06,1,The Trump tax cuts put money back in your pocket. Your paycheck went further. Your family did better. Let's restore that prosperity.
F_450,FF PAC,Pennsylvania,2024-10-20,0,"The cost of living in America is still too high. You know it and I know it. We need new solutions, not old approaches."
H_245,Harris Campaign,Wisconsin,2024-11-03,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
T_105,Trump Campaign,North Carolina,2024-11-04,0,Kamala Harris is the most radical liberal ever to run for President. A soft-on-crime radical who is too dangerous for the White House.
H_371,Harris Campaign,Nevada,2024-11-01,0,I'm a construction worker. I voted Trump twice. But his tariffs hurt my business. I'm voting Harris because she has a plan.
F_440,FF PAC,Pennsylvania,2024-10-30,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
H_262,Harris Campaign,Georgia,2024-11-05,0,"Kamala Harris was the deciding vote on the Inflation Reduction Act, which raised the tax burden on the middle class. Trump will end taxes on tips and overtime."
H_345,Harris Campaign,Pennsylvania,2024-11-01,0,Trump's economic policies would weaken the economy and hurt working people. He has no intention to grow our middle class.
T_077,Trump Campaign,Wisconsin,2024-11-02,1,The greatest economic recovery in American history happened under President Trump. Jobs came roaring back. We can do it again. I'm Donald Trump and I approve this message.
H_249,Harris Campaign,Georgia,2024-09-02,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
H_386,Harris Campaign,Pennsylvania,2024-10-28,0,"Trump wants to give tax breaks to billionaires, but I have plans to help working families. I'm going to crack down on price gouging."
H_259,Harris Campaign,Arizona,2024-11-03,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
H_216,Harris Campaign,Georgia,2024-09-03,1,We had peace through strength. No new wars. ISIS defeated. The world was safer. Let's restore that leadership.
F_392,FF PAC,Nevada,2024-11-02,0,Harris's IRS targeted tipped workers. She expanded audits on the middle class. Trump will end taxes on tips.
H_340,Harris Campaign,Michigan,2024-11-03,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
F_423,FF PAC,Georgia,2024-11-02,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
T_117,Trump Campaign,Michigan,2024-11-01,0,Harris promises a lot but delivers nothing. Four years as VP and what has changed? Prices up. Crime up. Chaos everywhere.
T_133,Trump Campaign,Pennsylvania,2024-10-01,0,"Under Biden-Harris, your paycheck buys less. Your savings are worth less. Your future is less certain."
H_335,Harris Campaign,Pennsylvania,2024-10-30,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
F_437,FF PAC,Michigan,2024-11-02,0,"I will never forget what Donald Trump did when Hurricane Maria devastated Puerto Rico. As president, I will always fight for you."
T_036,Trump Campaign,Wisconsin,2024-09-24,1,Small businesses were booming under Trump. Main Street was thriving. The American entrepreneur was unleashed. Let's restore that spirit.
T_010,Trump Campaign,Georgia,2024-10-03,1,Our cities will be safe. Our streets will be clean. Our border will be secure. We're going to restore law and order like we had four years ago.
M_176,MAGA Inc,Pennsylvania,2024-11-01,1,"Under President President Trump, we achieved energy dominance. Gas prices fell. Utility bills dropped. American energy workers thrived. We'll do it again."
T_011,Trump Campaign,Michigan,2024-11-03,1,Bring back American strength. Bring back American jobs. Bring back American values. Only one candidate fought for you before and will fight for you again.
H_287,Harris Campaign,North Carolina,2024-11-01,0,I'm a construction worker. I voted Trump twice. But his tariffs hurt my business. I'm voting Harris because she has a plan.
M_175,MAGA Inc,Arizona,2024-11-04,1,"Under Trump, America was energy independent for the first time in decades. Gas was cheap. Families could afford to fill their tanks. Let's bring that back."
T_131,Trump Campaign,Arizona,2024-10-09,0,Harris promises a lot but delivers nothing. Four years as VP and what has changed? Prices up. Crime up. Chaos everywhere.
T_051,Trump Campaign,Wisconsin,2024-11-05,1,Our factories were humming. Our workers were thriving. Our families were prospering. It's time to return to that America.
